Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
04/06/2020,Albany,14,333,86,4330
04/06/2020,Allegany,0,17,3,199
04/06/2020,Bronx,1021,15348,1996,29367
04/06/2020,Broome,10,86,47,654
04/06/2020,Cattaraugus,1,13,14,265
04/06/2020,Cayuga,3,14,33,418
04/06/2020,Chautauqua,1,16,37,274
04/06/2020,Chemung,2,49,22,568
04/06/2020,Chenango,5,51,42,254
04/06/2020,Clinton,1,37,16,296
04/06/2020,Columbia,2,61,15,491
04/06/2020,Cortland,3,16,25,583
04/06/2020,Delaware,7,36,30,231
04/06/2020,Dutchess,60,1249,335,4779
04/06/2020,Erie,112,1135,396,4871
04/06/2020,Essex,0,7,5,111
04/06/2020,Franklin,0,10,5,162
04/06/2020,Fulton,2,13,18,223
04/06/2020,Genesee,10,33,37,334
04/06/2020,Greene,0,24,13,299
04/06/2020,Hamilton,0,2,0,17
04/06/2020,Herkimer,2,27,19,226
04/06/2020,Jefferson,6,39,63,748
04/06/2020,Kings,1177,20879,2245,39854
04/06/2020,Lewis,0,6,11,123
04/06/2020,Livingston,1,23,18,253
04/06/2020,Madison,6,88,64,571
04/06/2020,Monroe,22,596,305,5451
04/06/2020,Montgomery,3,18,20,218
04/06/2020,Nassau,994,16610,2097,36320
04/06/2020,New York,572,11012,1249,26402
04/06/2020,Niagara,6,126,44,617
04/06/2020,Oneida,18,118,90,954
04/06/2020,Onondaga,64,335,689,4941
04/06/2020,Ontario,1,33,32,502
04/06/2020,Orange,202,3599,604,10420
04/06/2020,Orleans,2,15,17,193
04/06/2020,Oswego,2,31,70,671
04/06/2020,Otsego,0,34,43,368
04/06/2020,Putnam,21,366,72,1381
04/06/2020,Queens,1707,24840,2864,43256
04/06/2020,Rensselaer,5,67,30,1360
04/06/2020,Richmond,218,4797,605,10679
04/06/2020,Rockland,287,5990,662,13506
04/06/2020,Saratoga,2,155,40,2083
04/06/2020,Schenectady,7,145,35,1437
04/06/2020,Schoharie,1,12,19,179
04/06/2020,Schuyler,0,4,4,108
04/06/2020,Seneca,1,10,8,149
04/06/2020,St. Lawrence,1,60,64,736
04/06/2020,Steuben,0,75,22,465
04/06/2020,Suffolk,1030,14517,2323,33225
04/06/2020,Sullivan,17,270,77,1451
04/06/2020,Tioga,0,8,10,209
04/06/2020,Tompkins,3,97,23,1702
04/06/2020,Ulster,26,398,117,2256
04/06/2020,Warren,5,31,15,536
04/06/2020,Washington,0,19,13,332
04/06/2020,Wayne,1,35,31,478
04/06/2020,Westchester,510,14804,1348,46701
04/06/2020,Wyoming,0,23,7,188
04/06/2020,Yates,0,1,3,83
04/05/2020,Albany,14,319,89,4244
04/05/2020,Allegany,1,17,8,196
04/05/2020,Bronx,959,14327,1628,27371
04/05/2020,Broome,5,76,33,607
04/05/2020,Cattaraugus,2,12,16,251
04/05/2020,Cayuga,3,11,31,385
04/05/2020,Chautauqua,4,15,50,237
04/05/2020,Chemung,9,47,50,546
04/05/2020,Chenango,3,46,27,212
04/05/2020,Clinton,3,36,14,280
04/05/2020,Columbia,8,59,23,476
04/05/2020,Cortland,3,13,42,558
04/05/2020,Delaware,2,29,28,201
04/05/2020,Dutchess,112,1189,338,4444
04/05/2020,Erie,105,1023,549,4475
04/05/2020,Essex,0,7,4,106
04/05/2020,Franklin,0,10,5,157
04/05/2020,Fulton,2,11,20,205
04/05/2020,Genesee,1,23,11,297
04/05/2020,Greene,0,24,12,286
04/05/2020,Hamilton,0,2,0,17
04/05/2020,Herkimer,3,25,23,207
04/05/2020,Jefferson,7,33,98,685
04/05/2020,Kings,1144,19702,2013,37609
04/05/2020,Lewis,3,6,11,112
04/05/2020,Livingston,3,22,14,235
04/05/2020,Madison,3,82,13,507
04/05/2020,Monroe,26,574,225,5146
04/05/2020,Montgomery,0,15,8,198
04/05/2020,Nassau,1218,15616,2363,34223
04/05/2020,New York,542,10440,1162,25153
04/05/2020,Niagara,4,120,44,573
04/05/2020,Oneida,13,100,87,864
04/05/2020,Onondaga,3,271,89,4252
04/05/2020,Ontario,0,32,26,470
04/05/2020,Orange,295,3397,827,9816
04/05/2020,Orleans,2,13,16,176
04/05/2020,Oswego,1,29,39,601
04/05/2020,Otsego,5,34,41,325
04/05/2020,Putnam,31,345,122,1309
04/05/2020,Queens,1697,23133,2730,40392
04/05/2020,Rensselaer,2,62,29,1330
04/05/2020,Richmond,288,4579,600,10074
04/05/2020,Rockland,377,5703,732,12844
04/05/2020,Saratoga,5,153,34,2043
04/05/2020,Schenectady,10,138,64,1402
04/05/2020,Schoharie,0,11,17,160
04/05/2020,Schuyler,0,4,9,104
04/05/2020,Seneca,0,9,11,141
04/05/2020,St. Lawrence,4,59,43,672
04/05/2020,Steuben,12,75,40,443
04/05/2020,Suffolk,1082,13487,2211,30902
04/05/2020,Sullivan,19,253,91,1374
04/05/2020,Tioga,1,8,10,199
04/05/2020,Tompkins,6,94,94,1679
04/05/2020,Ulster,40,372,182,2139
04/05/2020,Warren,1,26,12,521
04/05/2020,Washington,1,19,2,319
04/05/2020,Wayne,2,34,15,447
04/05/2020,Westchester,571,14294,1398,45353
04/05/2020,Wyoming,1,23,6,181
04/05/2020,Yates,0,1,2,80
04/04/2020,Albany,12,305,117,4155
04/04/2020,Allegany,0,16,8,188
04/04/2020,Bronx,1053,13368,1778,25743
04/04/2020,Broome,6,71,36,574
04/04/2020,Cattaraugus,1,10,12,235
04/04/2020,Cayuga,1,8,32,354
04/04/2020,Chautauqua,1,11,28,187
04/04/2020,Chemung,2,38,35,496
04/04/2020,Chenango,4,43,17,185
04/04/2020,Clinton,2,33,23,266
04/04/2020,Columbia,2,51,15,453
04/04/2020,Cortland,0,10,38,516
04/04/2020,Delaware,1,27,12,173
04/04/2020,Dutchess,139,1077,352,4106
04/04/2020,Erie,110,918,402,3926
04/04/2020,Essex,0,7,4,102
04/04/2020,Franklin,0,10,6,152
04/04/2020,Fulton,0,9,12,185
04/04/2020,Genesee,2,22,12,286
04/04/2020,Greene,0,24,7,274
04/04/2020,Hamilton,0,2,0,17
04/04/2020,Herkimer,4,22,46,184
04/04/2020,Jefferson,6,26,75,587
04/04/2020,Kings,1054,18558,1990,35596
04/04/2020,Lewis,1,3,19,101
04/04/2020,Livingston,1,19,27,221
04/04/2020,Madison,5,79,28,494
04/04/2020,Monroe,36,548,277,4921
04/04/2020,Montgomery,2,15,14,190
04/04/2020,Nassau,1052,14398,2195,31860
04/04/2020,New York,598,9898,1278,23991
04/04/2020,Niagara,15,116,54,529
04/04/2020,Oneida,7,87,55,777
