,Date,Start day,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,Unknown
34,4/7/2020,35,144,7533,733,736,94,71,5078,311,4949,234,837,3717,2770,2239,2641,4101,31,1033,331,4358,255,2220
35,4/8/2020,36,168,7874,801,838,100,80,5598,340,5437,255,992,4156,3038,2468,2856,4372,36,1189,357,4831,289,1362
36,4/9/2020,37,191,8343,883,990,109,111,6069,413,5879,286,1161,4628,3248,2645,3093,4690,43,1335,392,5203,319,996
37,4/10/2020,38,211,8928,954,1072,116,138,6580,447,6411,293,1282,5060,3496,2771,3269,5017,46,1523,413,5575,337,649
38,4/11/2020,39,230,9362,1031,1180,129,154,7007,487,6851,301,1434,5406,3651,2925,3403,5295,56,1642,456,5865,362,924
39,4/12/2020,40,253,9784,1095,1270,145,165,7410,532,7469,314,1567,5693,3785,3099,3554,5590,61,1732,483,6180,395,1274
40,4/13/2020,41,267,10092,1155,1401,164,187,7634,566,7879,325,1646,5987,3875,3225,3593,5950,66,1809,508,6636,416,1203
41,4/14/2020,42,284,10426,1207,1477,169,201,8212,587,8242,349,1731,6313,4003,3424,3833,6438,73,1911,535,7265,442,1203
42,4/15/2020,43,322,10848,1261,1587,178,210,8579,602,8511,356,1856,6576,4122,3525,4016,6750,84,2001,551,7438,468,1189
43,4/16/2020,44,344,11409,1326,1734,186,223,9084,624,9165,373,2037,6994,4299,3701,4272,7317,95,2103,578,7904,501,1048
44,4/17/2020,45,370,11863,1366,1807,189,263,9672,664,9636,385,2123,7308,4414,3822,4424,7604,102,2195,591,8429,521,719
45,4/18/2020,46,382,12163,1456,1918,199,272,9901,683,9956,391,2215,7624,4528,3984,4548,7936,105,2283,626,8959,543,748
46,4/19/2020,47,398,12639,1587,2131,206,308,10304,737,10486,407,2395,8017,4669,4136,4648,8288,116,2384,659,9609,592,585
47,4/20/2020,48,410,13011,1663,2255,212,338,10729,770,11150,419,2591,8346,4787,4236,4868,8479,120,2488,680,9972,613,660
48,4/21/2020,49,469,13356,1765,2379,217,360,11128,808,11636,422,2753,8767,4947,4435,5036,8941,127,2599,712,10289,642,599
